Designator,Mid X,Mid Y,Rotation,Layer
C1,41.402,-43.18,180.0,top
C2,41.402,-46.99,180.0,top
C3,36.83,-45.72,0.0,top
C4,36.83,-40.64,180.0,top
D1,41.402,-40.64,0.0,top
D2,45.974,-40.64,0.0,top
D3,50.546,-40.64,0.0,top
J1,55.245,-44.45,0.0,top
J2,29.21,-44.45,270.0,top
R1,41.402,-48.26,180.0,top
R2,41.402,-41.91,0.0,top
R3,45.974,-41.91,180.0,top
R4,50.546,-41.91,0.0,top
R5,36.83,-46.99,0.0,top
R6,36.83,-48.26,0.0,top
R7,41.402,-44.45,0.0,top
R8,41.402,-45.72,0.0,top
U1,48.26,-45.974,180.0,top
U2,36.83,-43.18,180.0,top
